number,_Duration_raw,Duration,PuPSafeword,PuPNegotiation,PuPLeadNegotiation,PuPBottomAdd,PuPBottomRemove,PuPTopAdd,PuPTopRemove,PuPjump,PuPnonverbal,PuPsafewordNotDiscussed,PuPtopDrugs,PuPbottomDrugs,PuPsatisfaction,PuPengage,RRSafeword,RRNegotiation,RRLeadNegotiation,RRBottomAdd,RRBottomRemove,RRTopAdd,RRTopRemove,RRjump,RRnonverbal,RRsafewordNotDiscussed,RRtopDrugs,RRbottomDrugs,RRsatisfaction,RRengage,ExpNegKinkVan,ExpNegRisk,IntoxicatedBDSMnew,IntoxicatedBDSMexist,IntoxicatedVanNew,IntoxicatedVanExist,SafewordNew,SafewordExist,ViolateLimitBDSM,SafewordIgnored,ViolateBoundaryVanilla,Gender,SexualOrientation,Race,USorNot,Age,FirstKinkAge,Roles,NonMonogamy,Relationship,CNC,ConsentEd
3,878,0 to 116,5,5,5,5,7,5,7,1,2,1,1,1,4,2,5,4,5,7,7,6,7,4,2,2,2,2,4,1,5,7,1,2,1,2,4,5,1,2,1,2,7,7,1,29,22,"3,9",1,"3,5",2,"1,2"
4,837,0 to 116,5,5,4,2,6,2,6,2,2,1,1,1,4,1,5,3,4,6,6,6,6,6,4,6,2,2,4,1,6,7,1,2,1,2,5,5,1,1,1,2,6,7,1,42,16,"5,7,9",2,"4,6",1,"1,2,4"
5,823,0 to 116,4,5,5,2,7,2,7,2,2,2,1,1,4,1,2,2,4,3,7,3,7,5,6,5,1,1,4,2,7,7,1,1,1,1,4,3,1,2,2,3,1,4,0,26,21,8,1,"1,2",1,2
6,1052,0 to 116,5,5,4,6,7,2,7,5,2,1,3,3,4,1,2,2,4,6,7,3,7,6,7,1,5,5,4,1,4,4,1,2,2,2,5,4,2,2,2,2,1,4,1,38,32,"2,5",1,5,1,2
7,698,0 to 116,5,5,4,2,7,2,7,1,2,1,1,1,4,2,4,4,4,6,7,6,7,6,6,5,1,1,4,1,4,5,1,1,1,1,5,5,1,1,1,2,"2,11",7,1,38,19,"5,7",1,"3,5,6",1,"2,4"
8,400,0 to 116,5,4,4,5,6,3,5,2,2,2,1,1,4,1,3,4,4,6,6,6,6,6,6,6,2,2,4,1,4,5,1,1,1,2,5,3,1,1,1,3,1,7,1,40,16,5,2,6,1,"1,2"
9,727,0 to 116,5,4,4,5,6,5,6,2,5,1,1,1,4,1,4,4,4,5,6,5,6,6,6,3,1,1,4,1,4,4,1,2,2,4,5,4,2,,2,1,7,"7,8",0,40,25,"1,4,6,8",1,6,1,"2,4"
10,1181,0 to 116,5,5,4,3,7,3,7,3,3,1,2,2,4,2,5,4,4,7,7,7,7,6,6,2,1,1,4,1,5,6,1,2,2,3,5,5,3,2,2,2,3,7,0,35,32,"2,9",2,6,4,"2,4"
11,606,0 to 116,4,4,4,2,7,2,7,1,4,2,1,1,4,2,5,4,4,4,7,1,7,1,6,1,1,1,4,1,7,4,1,1,2,2,5,4,2,2,2,1,6,7,0,34,22,"1,3",3,6,2,"1,2"
12,1371,0 to 116,5,4,4,5,5,5,6,1,3,3,1,1,4,2,5,3,4,5,5,5,5,1,5,6,1,1,4,1,5,6,1,1,1,2,5,5,1,1,2,2,2,7,1,62,38,9,3,1,4,2
13,1269,0 to 116,5,5,4,2,6,2,6,2,2,2,1,1,4,2,4,4,4,6,7,6,7,1,7,6,1,1,4,1,7,6,1,2,1,2,5,4,2,2,1,2,4,7,1,40,35,"2,3,9",2,"3,6",2,2
14,1749,0 to 116,5,4,4,6,6,3,6,4,3,2,1,2,4,1,4,3,4,6,6,5,6,6,5,5,2,2,4,1,4,6,1,2,2,3,5,5,2,2,1,1,1,7,0,30,23,"1,4,8",1,4,3,2
15,1214,0 to 116,5,5,6,2,5,2,6,2,6,1,1,1,4,1,3,3,4,6,5,6,5,4,5,6,5,5,4,1,6,7,1,2,2,3,5,2,1,1,1,2,2,"4,7",1,53,19,"1,3,4,6,8",1,2,2,"2,4"
16,1335,0 to 116,5,5,4,5,7,1,7,3,2,3,3,3,4,1,4,4,4,5,7,2,7,5,3,5,5,5,4,1,6,4,1,3,1,3,5,5,1,1,1,2,7,8,0,20,18,"2,3,5,7,9",3,3,1,3
17,1266,0 to 116,5,5,7,8,1,1,1,2,1,1,1,1,4,2,2,2,7,6,6,6,6,6,5,5,1,1,4,1,7,7,1,1,1,1,5,5,2,2,2,1,2,4,0,67,50,8,1,2,2,6
18,557,0 to 116,5,5,4,5,6,4,7,1,3,1,1,1,4,1,3,3,4,6,5,5,7,6,6,6,1,2,4,1,7,7,1,2,2,3,5,3,2,2,2,"2,6","1,3,7",7,1,32,18,"2,9",1,"3,6",1,"2,4"
19,936,0 to 116,4,5,4,3,7,2,7,3,2,1,1,1,3,2,3,4,4,5,7,3,7,5,5,1,1,1,3,1,5,7,1,2,2,2,5,4,2,2,2,"2,3,4,8","1,3,4,7",7,1,31,21,"3,9",2,5,2,3
20,1519,0 to 116,5,5,4,2,7,2,7,2,1,1,3,3,4,1,4,4,4,6,7,6,7,6,6,6,6,6,4,1,5,6,2,2,2,2,5,5,1,2,2,2,6,7,1,34,30,"1,2,4,8",1,"5,7",3,"2,6"
21,3083,0 to 116,4,5,4,5,7,5,7,3,5,1,1,1,4,1,5,4,4,5,7,5,7,5,5,4,1,1,4,1,5,7,1,1,1,2,4,4,2,2,1,2,7,2,0,34,31,"2,3,5",1,3,3,2
22,14607,116 to 790,3,4,5,7,6,2,5,6,6,2,1,1,4,1,1,5,4,6,7,3,5,7,6,3,5,3,4,1,6,7,1,2,2,3,2,1,1,2,2,1,4,7,1,67,21,"1,6,8",3,5,4,2
23,739,0 to 116,5,4,4,1,6,1,6,1,4,1,1,1,4,1,4,4,4,2,2,2,2,2,5,1,1,1,4,1,4,4,1,1,1,2,5,3,1,1,1,2,7,1,1,41,21,"1,4,8",1,7,1,"1,2"
24,1664,0 to 116,5,5,4,3,6,3,6,3,1,1,1,1,4,1,5,5,4,5,7,5,7,4,7,3,2,2,4,1,4,4,1,1,1,1,5,5,3,2,2,"2,3",7,3,1,26,18,"3,4,5,6,8,9",1,"3,4",1,2
25,992,0 to 116,5,3,4,6,3,6,6,2,2,6,1,1,4,1,1,1,4,6,7,7,7,4,7,7,1,1,4,1,7,7,1,1,1,2,5,5,1,2,1,1,2,7,0,42,18,6,1,5,2,5
26,1264,0 to 116,5,5,4,8,7,7,7,1,5,5,5,5,4,1,5,5,4,7,7,7,7,1,6,1,6,6,4,2,6,7,3,3,3,3,5,5,3,2,1,1,4,"1,7",1,34,,"2,3",1,1,2,4
27,2091,0 to 116,5,5,4,5,7,2,6,4,2,2,1,1,4,1,5,4,4,6,6,2,6,6,6,6,5,5,4,1,7,7,1,2,2,3,5,5,2,2,1,1,"1,7",7,1,23,20,"3,4",1,"6,7",3,"1,2,4"
28,1114,0 to 116,3,4,4,5,7,5,7,2,4,3,3,3,4,1,2,2,4,6,7,5,7,2,6,3,6,6,3,1,5,7,1,3,2,3,2,2,2,2,2,"2,8","2,6",7,1,25,18,"2,9",1,"2,4,6",1,"1,2,4"
29,852,0 to 116,5,4,4,2,6,2,6,2,3,2,1,1,4,1,4,4,4,3,6,3,6,5,5,3,1,1,4,1,5,7,1,1,1,1,5,4,1,2,1,2,"3,9",7,1,27,19,"2,5,7,9",1,"3,5,6",1,"2,4"
30,1801,0 to 116,5,5,4,3,7,1,7,1,2,1,1,1,4,1,5,4,4,4,7,2,7,4,6,1,1,1,4,1,7,7,1,1,2,2,5,5,1,2,1,1,"1,3,12",7,0,39,,"1,4,8",1,"2,3,6",1,3
31,1214,0 to 116,5,4,4,6,7,5,7,5,3,1,1,1,4,1,4,4,4,3,7,3,7,2,4,1,2,2,4,1,6,7,1,2,2,3,3,5,1,1,1,2,1,7,0,25,15,"2,3,4,5,9",1,"2,4,6",3,2
32,1103,0 to 116,5,4,4,3,3,3,3,1,2,3,5,5,4,1,5,3,4,7,7,7,7,6,4,6,5,5,4,1,6,6,2,3,2,3,5,5,1,2,1,2,6,7,1,44,40,9,1,3,1,2
35,1771,0 to 116,5,5,7,1,1,1,7,1,1,1,1,1,4,1,5,5,6,7,7,7,7,1,3,1,1,1,4,2,7,7,1,1,1,1,5,4,2,2,2,2,3,3,1,27,25,3,3,3,2,2
37,2442,0 to 116,4,4,4,5,5,5,7,5,5,3,6,7,4,1,1,2,4,6,3,5,7,4,7,6,6,6,4,1,5,6,3,4,4,4,4,1,1,2,1,"1,12","2,6,7,12",7,1,48,7,"1,2,4,6,8",1,2,1,"2,3,4"
38,1175,0 to 116,5,5,4,4,7,2,7,1,2,1,1,1,4,1,5,5,4,5,7,5,7,4,6,2,1,1,4,1,6,6,1,2,1,2,4,5,1,2,1,"3,8",3,"4,7",1,26,16,"1,2,3,4",1,7,1,4
39,72610,790 to 1463,5,4,5,3,7,2,7,1,1,1,2,1,4,1,4,4,4,5,7,3,7,5,5,3,2,2,4,1,6,7,1,2,2,3,5,5,3,2,1,"3,4,7,8",3,7,1,26,18,3,1,"2,3,6",1,"1,2,4"
40,923,0 to 116,5,4,5,6,6,6,6,2,5,3,2,2,4,1,4,3,4,6,6,6,6,6,5,6,5,5,4,1,6,6,1,2,2,4,5,5,1,2,2,2,7,7,1,44,36,"2,9",1,6,1,2
41,2149,0 to 116,5,5,6,6,7,6,7,4,5,1,1,1,4,1,5,4,4,7,7,6,7,7,7,2,6,6,4,1,6,7,2,3,2,3,4,5,2,2,2,1,6,"4,7",1,32,25,1,2,6,1,"1,3,4"
43,1552,0 to 116,5,5,4,3,7,2,7,2,2,1,1,1,4,1,5,4,4,6,7,5,7,6,5,3,2,4,4,1,5,6,1,2,1,2,5,5,2,2,1,2,3,7,1,23,22,"3,4,5",1,"2,3",3,2
44,834,0 to 116,2,3,4,7,6,6,6,5,5,4,2,2,6,1,3,2,4,7,7,7,7,7,5,6,6,6,4,1,6,7,2,3,2,3,3,2,2,2,2,1,4,7,1,50,22,"2,9",1,1,3,4
