Participant,Duration (in seconds),Recorded Date,Response ID,PuPSafeword,PuPNegotiation,PuPLeadNegotiation,PuPBottomAdd,PuPBottomRemove,PuPTopAdd,PuPTopRemove,PuPjump,PuPnonverbal,PuPsafewordNotDiscussed,PuPtopDrugs,PuPbottomDrugs,PuPsatisfaction,PuPengage,RRSafeword,RRNegotiation,RRLeadNegotiation,RRBottomAdd,RRBottomRemove,RRTopAdd,RRTopRemove,RRjump,RRnonverbal,RRsafewordNotDiscussed,RRtopDrugs,RRbottomDrugs,RRsatisfaction,RRengage,ExpNegKinkVan,ExpNegRisk,IntoxicatedBDSMnew,IntoxicatedBDSMexist,IntoxicatedVanNew,IntoxicatedVanExist,SafewordNew,SafewordExist,ViolateLimitBDSM,SafewordIgnored,ViolateBoundaryVanilla,Gender,Male,Female,Nonbinary,Transwoman,Transman,Gendernonconforming,Genderfluid,Genderqueer,TwoSpirit,Intersex,Agender,OtherGender,SexualOrientation,Pansexual,Heterosexual,Queer,Gay,Homoflexible,Heteroflexible,Bisexual,Asexual,Aromantic,Greysexual,Demisexual,OtherSO,Race,RaceCode,NativeAmerican,Asian,Black,Hispanic,MiddleEastern,PacificIslander,White,OtherRace,USorNot,Age,FirstKinkAge,Roles,Top,Bottom,Switch,Sadist,Masochist,Master,Slave,Dominant,Submissive,NonMonogamy,Relationship,Single,PlayPartner,Dating,Engaged,Married,LivingTogether,OtherRelationship,CNC,ConsentEd,ConsentEdRecoded,ConsentCode,SchoolConsentEd,KinkConsentEd,OtherConsentEd,InformalConsentEd,UnsureConsentEd,NoConsentEd
3,878,4/18/2020 11:06,R_1lzdrwrI9F5EWrp,5,5,5,5,7,5,7,1,2,1,1,1,4,2,5,4,5,7,7,6,7,4,2,2,2,2,4,1,5,7,1,2,1,2,4,5,1,2,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,29,22,"3,9",,,1,,,,,,1,1,"3,5",,,1,,1,,,2,"1,2","1,2",2,1,1,,,,
4,837,4/18/2020 13:10,R_3qI2Pxwf1P7B843,5,5,4,2,6,2,6,2,2,1,1,1,4,1,5,3,4,6,6,6,6,6,4,6,2,2,4,1,6,7,1,2,1,2,5,5,1,1,1,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,42,16,"5,7,9",,,,,1,,1,,1,2,"4,6",,,,1,,1,,1,"1,2,4","1,2,4",2,1,1,,1,,
5,823,4/18/2020 13:16,R_1ezPz8KjVwMpxRn,4,5,5,2,7,2,7,2,2,2,1,1,4,1,2,2,4,3,7,3,7,5,6,5,1,1,4,2,7,7,1,1,1,1,4,3,1,2,2,3,,,1,,,,,,,,,,1,1,,,,,,,,,,,,4,4,,,,1,,,,,0,26,21,8,,,,,,,,1,,1,"1,2",1,1,,,,,,1,2,2,2,,1,,,,
6,1052,4/18/2020 13:24,R_1OQgibxFa9qW84k,5,5,4,6,7,2,7,5,2,1,3,3,4,1,2,2,4,6,7,3,7,6,7,1,5,5,4,1,4,4,1,2,2,2,5,4,2,2,2,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,4,4,,,,1,,,,,1,38,32,"2,5",,1,,,1,,,,,1,5,,,,,1,,,1,2,2,2,,1,,,,
7,698,4/18/2020 13:26,R_24uulF6UqUdkOaG,5,5,4,2,7,2,7,1,2,1,1,1,4,2,4,4,4,6,7,6,7,6,6,5,1,1,4,1,4,5,1,1,1,1,5,5,1,1,1,2,,1,,,,,,,,,,,"2,11",,1,,,,,,,,,1,,7,7,,,,,,,1,,1,38,19,"5,7",,,,,1,,1,,,1,"3,5,6",,,1,,1,1,,1,"2,4","2,4",2,,1,,1,,
8,400,4/18/2020 13:26,R_xt7SMfHHGyihunf,5,4,4,5,6,3,5,2,2,2,1,1,4,1,3,4,4,6,6,6,6,6,6,6,2,2,4,1,4,5,1,1,1,2,5,3,1,1,1,3,,,1,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,40,16,5,,,,,1,,,,,2,6,,,,,,1,,1,"1,2","1,2",2,1,1,,,,
9,727,4/18/2020 13:51,R_3QJHMJSXPPGbzhz,5,4,4,5,6,5,6,2,5,1,1,1,4,1,4,4,4,5,6,5,6,6,6,3,1,1,4,1,4,4,1,2,2,4,5,4,2,,2,1,1,,,,,,,,,,,,7,,,,,,,1,,,,,,"7,8",7,,,,,,,1,1,0,40,25,"1,4,6,8",1,,,1,,1,,1,,1,6,,,,,,1,,1,"2,4","2,4",2,,1,,1,,
10,1181,4/18/2020 14:02,R_ZfpoORqO0p2f6IF,5,5,4,3,7,3,7,3,3,1,2,2,4,2,5,4,4,7,7,7,7,6,6,2,1,1,4,1,5,6,1,2,2,3,5,5,3,2,2,2,,1,,,,,,,,,,,3,,,1,,,,,,,,,,7,7,,,,,,,1,,0,35,32,"2,9",,1,,,,,,,1,2,6,,,,,,1,,4,"2,4","2,4",2,,1,,1,,
11,606,4/18/2020 14:20,R_2y89P9fvk3gJxrT,4,4,4,2,7,2,7,1,4,2,1,1,4,2,5,4,4,4,7,1,7,1,6,1,1,1,4,1,7,4,1,1,2,2,5,4,2,2,2,1,1,,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,0,34,22,"1,3",1,,1,,,,,,,3,6,,,,,,1,,2,"1,2","1,2",2,1,1,,,,
12,1371,4/18/2020 14:39,R_2zr2xKEgZkFJjmX,5,4,4,5,5,5,6,1,3,3,1,1,4,2,5,3,4,5,5,5,5,1,5,6,1,1,4,1,5,6,1,1,1,2,5,5,1,1,2,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,62,38,9,,,,,,,,,1,3,1,1,,,,,,,4,2,2,2,,1,,,,
13,1269,4/18/2020 14:43,R_125AznkaFb5RfAm,5,5,4,2,6,2,6,2,2,2,1,1,4,2,4,4,4,6,7,6,7,1,7,6,1,1,4,1,7,6,1,2,1,2,5,4,2,2,1,2,,1,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,40,35,"2,3,9",,1,1,,,,,,1,2,"3,6",,,1,,,1,,2,2,2,2,,1,,,,
14,1749,4/18/2020 14:56,R_2xY1Js30NLrRzAf,5,4,4,6,6,3,6,4,3,2,1,2,4,1,4,3,4,6,6,5,6,6,5,5,2,2,4,1,4,6,1,2,2,3,5,5,2,2,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,0,30,23,"1,4,8",1,,,1,,,,1,,1,4,,,,1,,,,3,2,2,2,,1,,,,
15,1214,4/18/2020 15:06,R_r7KK15OQf8v2Xst,5,5,6,2,5,2,6,2,6,1,1,1,4,1,3,3,4,6,5,6,5,4,5,6,5,5,4,1,6,7,1,2,2,3,5,2,1,1,1,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,"4,7","4,7",,,,1,,,1,,1,53,19,"1,3,4,6,8",1,,1,1,,1,,1,,1,2,,1,,,,,,2,"2,4","2,4",2,,1,,1,,
16,1335,4/18/2020 15:16,R_1Ebc9u7MN0M4Xz4,5,5,4,5,7,1,7,3,2,3,3,3,4,1,4,4,4,5,7,2,7,5,3,5,5,5,4,1,6,4,1,3,1,3,5,5,1,1,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,8,8,,,,,,,,1,0,20,18,"2,3,5,7,9",,1,1,,1,,1,,1,3,3,,,1,,,,,1,3,3,0,,,1,,,
17,1266,4/18/2020 15:28,R_3jW1C4QZr9cJNFl,5,5,7,8,1,1,1,2,1,1,1,1,4,2,2,2,7,6,6,6,6,6,5,5,1,1,4,1,7,7,1,1,1,1,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,4,4,,,,1,,,,,0,67,50,8,,,,,,,,1,,1,2,,1,,,,,,2,6,6,0,,,,,,1
18,557,4/18/2020 16:29,R_DpInmutFe4Be5cl,5,5,4,5,6,4,7,1,3,1,1,1,4,1,3,3,4,6,5,5,7,6,6,6,1,2,4,1,7,7,1,2,2,3,5,3,2,2,2,"2,6",,1,,,,1,,,,,,,"1,3,7",1,,1,,,,1,,,,,,7,7,,,,,,,1,,1,32,18,"2,9",,1,,,,,,,1,1,"3,6",,,1,,,1,,1,"2,4","2,4",2,,1,,1,,
19,936,4/18/2020 16:42,R_0O5f3a0t6tWz3mF,4,5,4,3,7,2,7,3,2,1,1,1,3,2,3,4,4,5,7,3,7,5,5,1,1,1,3,1,5,7,1,2,2,2,5,4,2,2,2,"2,3,4,8",,1,1,1,,,,1,,,,,"1,3,4,7",1,,1,1,,,1,,,,,,7,7,,,,,,,1,,1,31,21,"3,9",,,1,,,,,,1,2,5,,,,,1,,,2,3,3,0,,,1,,,
20,1519,4/18/2020 16:43,R_3KHNhefyG7dC9dV,5,5,4,2,7,2,7,2,1,1,3,3,4,1,4,4,4,6,7,6,7,6,6,6,6,6,4,1,5,6,2,2,2,2,5,5,1,2,2,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,34,30,"1,2,4,8",1,1,,1,,,,1,,1,"5,7",,,,,1,,1,3,"2,6","2,6",2,,1,,,,1
21,3083,4/18/2020 17:25,R_2TYMmsofTgYCgh1,4,5,4,5,7,5,7,3,5,1,1,1,4,1,5,4,4,5,7,5,7,5,5,4,1,1,4,1,5,7,1,1,1,2,4,4,2,2,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,2,2,,1,,,,,,,0,34,31,"2,3,5",,1,1,,1,,,,,1,3,,,1,,,,,3,2,2,2,,1,,,,
